time,x_airspeed_x,x_airspeed_z,x_airspeed_y,x_pitch,x_altitude,x_velocity_y,x_angular_rate_x,x_angular_rate_z,x_roll,x_yaw,elevator,thrust,aileron,rudder,airspeed_x,airspeed_z,airspeed_y,pitch,altitude,velocity_y,angular_rate_x,angular_rate_z,roll,yaw,fd_elevator,fd_thrust,fd_aileron,fd_rudder,ft_airspeed_x,ft_airspeed_z,ft_airspeed_y,ft_pitch,ft_altitude,ft_velocity_y,ft_angular_rate_x,ft_angular_rate_z,ft_roll,ft_yaw,TaskNumber,SecondaryInput,TaskSet,TaskRespondedTo
0.004112124,  4.17793E-07,    0.0224214,   0.00131075,            0,            0,            0, -8.08019E-05,  4.38155E-07,            0,            0, 0, 0, 0, 0,  4.17793E-07,    0.0224214,   0.00131075,            0,            0,            0, -8.08019E-05,  4.38155E-07,            0,            0,  -0.229296,          0, -0.0252975,          0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,-1,False,False
0.01411211,  1.57092E-06,    0.0527272,    0.0028761,  1.31075E-05, -0.000224214, -1.21807E-06, -3.34003E-05,  2.16831E-07, -8.08019E-07,  4.38155E-09, 0, 0, 0, 0,  1.57092E-06,    0.0527272,    0.0028761,  0.000751006, -0.000224214, -1.21807E-06, -3.34003E-05,  2.16831E-07, -4.62961E-05,  4.38155E-09, -0.275056,         0, 0.0145658,         0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,-1,False,False
0.02411211,  1.01959E-06,    0.0912605,   0.00467721,  4.18686E-05, -0.000715046, -2.07959E-06,  0.000133988, -6.76186E-07, -1.14202E-06,  6.54986E-09, 0, 0, 0, 0,  1.01959E-06,    0.0912605,   0.00467721,   0.00239889, -0.000715046, -2.07959E-06,  0.000133988, -6.76186E-07,  -6.5433E-05,  6.54986E-09, -0.317769,         0, 0.0522922,         0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,-1,False,False
0.0341121,  -4.1934E-06,      0.13822,   0.00668998,  8.86407E-05,  -0.00151126, -5.65102E-07,  0.000410689,   -2.236E-06,  1.97855E-07, -2.12007E-10, 0, 0, 0, 0,  -4.1934E-06,      0.13822,   0.00668998,   0.00507874,  -0.00151126, -5.65102E-07,  0.000410689,   -2.236E-06,  1.13363E-05, -2.12007E-10, -0.356499,         0, 0.0870851,         0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,-1,False,False
0.04411209,   -1.751E-05,     0.193658,   0.00888574,  0.000155541,  -0.00264704,  5.71519E-06,  0.000783623, -4.43978E-06,  4.30475E-06,  -2.2572E-08, 0, 0, 0, 0,   -1.751E-05,     0.193658,   0.00888574,   0.00891182,  -0.00264704,  5.71519E-06,  0.000783623, -4.43978E-06,  0.000246644,  -2.2572E-08, -0.390426,         0,  0.118154,         0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,-1,False,False
0.05411208, -4.28132E-05,      0.25748,     0.011232,  0.000244398,  -0.00415121,  1.94369E-05,   0.00123778, -7.24832E-06,   1.2141E-05, -6.69698E-08, 0, 0, 0, 0, -4.28132E-05,      0.25748,     0.011232,     0.014003,  -0.00415121,  1.94369E-05,   0.00123778, -7.24832E-06,  0.000695627, -6.69698E-08, -0.418859,         0,  0.144852,         0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,-1,False,False
0.06411207, -8.43744E-05,     0.329454,    0.0136934,  0.000356718,  -0.00604658,  4.34736E-05,   0.00175663, -1.06073E-05,  2.45188E-05, -1.39453E-07, 0, 0, 0, 0, -8.43744E-05,     0.329454,    0.0136934,    0.0204384,  -0.00604658,  4.34736E-05,   0.00175663, -1.06073E-05,   0.00140482, -1.39453E-07, -0.441261,         0,  0.166649,         0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,-1,False,False
0.07411206, -0.000146792,     0.409215,    0.0162326,  0.000493652,  -0.00834945,  8.08064E-05,   0.00232272, -1.44502E-05,  4.20851E-05, -2.45526E-07, 0, 0, 0, 0, -0.000146792,     0.409215,    0.0162326,    0.0282842,  -0.00834945,  8.08064E-05,   0.00232272, -1.44502E-05,    0.0024113, -2.45526E-07, -0.457255,         0,  0.183205,         0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,-1,False,False
0.08411217, -0.000234923,     0.496281,    0.0188112,  0.000655978,   -0.0110692,  0.000134436,   0.00291804, -1.86993E-05,  6.53123E-05, -3.90028E-07, 0, 0, 0, 0, -0.000234923,     0.496281,    0.0188112,    0.0375848,   -0.0110692,  0.000134436,   0.00291804, -1.86993E-05,   0.00374212, -3.90028E-07, -0.466634,         0,  0.194279,         0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,-1,False,False
0.09411216, -0.000353814,     0.590062,    0.0213909,   0.00084409,   -0.0142084,  0.000207297,   0.00352453, -2.32689E-05,  9.44927E-05, -5.77021E-07, 0, 0, 0, 0, -0.000353814,     0.590062,    0.0213909,    0.0483628,   -0.0142084,  0.000207297,   0.00352453, -2.32689E-05,   0.00541403, -5.77021E-07, -0.469363,         0,  0.199804,         0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,-1,False,False
